YEAR,Month,Precipitacion
2010,1,2.37
2010,2,4.08
2010,3,2.97
2010,4,5.2
2010,5,5.23
2010,6,6.3
2010,7,6.15
2010,8,2.21
2010,9,4.83
2010,10,3.33
2010,11,5.95
2010,12,7.56
2011,1,2.76
2011,2,7.78
2011,3,3.32
2011,4,10.25
2011,5,3.86
2011,6,1.76
2011,7,4.08
2011,8,3.28
2011,9,3.15
2011,10,3.82
2011,11,5.28
2011,12,3.46
2012,1,4.26
2012,2,3.31
2012,3,3.81
2012,4,3.03
2012,5,2.09
2012,6,2.24
2012,7,2.52
2012,8,3.75
2012,9,2.07
2012,10,3.63
2012,11,0.99
2012,12,2.42
2013,1,0.59
2013,2,8.89
2013,3,3.54
2013,4,4.5
2013,5,4.29
2013,6,0.94
2013,7,1.13
2013,8,1.7
2013,9,2.96
2013,10,4.32
2013,11,2.85
2013,12,1.64
2014,1,2.43
2014,2,0.64
2014,3,7.12
2014,4,4.46
2014,5,6.46
2014,6,6.58
2014,7,1.49
2014,8,4.08
2014,9,5.22
2014,10,4.73
2014,11,5.16
2014,12,5.09
2015,1,3.49
2015,2,4.12
2015,3,9.4
2015,4,1.85
2015,5,4.33
2015,6,1.48
2015,7,4.28
2015,8,1.16
2015,9,2.25
2015,10,2.2
2015,11,4.85
2015,12,2.17
2016,1,2.95
2016,2,1.67
2016,3,6.6
2016,4,8.74
2016,5,4.02
2016,6,6.33
2016,7,2.6
2016,8,0.8
2016,9,3.22
2016,10,4.16
2016,11,2.49
2016,12,4.89
2017,1,8.19
2017,2,3.39
2017,3,7.79
2017,4,4.73
2017,5,8.37
2017,6,6.33
2017,7,2.01
2017,8,4.19
2017,9,2.26
2017,10,3.84
2017,11,2.39
2017,12,2.74
2018,1,6.85
2018,2,2.88
2018,3,1.27
2018,4,1.91
2018,5,5.65
2018,6,1.34
2018,7,1.45
2018,8,2.98
2018,9,1.48
2018,10,1.63
2018,11,4.03
2018,12,2.94
2019,1,3.4
2019,2,2.72
2019,3,2.11
2019,4,2.86
2019,5,4.32
2019,6,1.75
2019,7,2.12
2019,8,1.54
2019,9,3.91
2019,10,3.84
2019,11,4.28
2019,12,4.46
2020,1,4.11
2020,2,1.81
2020,3,1.19
2020,4,3.93
2020,5,3.13
2020,6,4.49
2020,7,2.69
2020,8,3.47
2020,9,2.65
2020,10,2.13
2020,11,3.87
2020,12,5.34
2021,1,2.32
2021,2,3.63
2021,3,4.23
2021,4,7.96
2021,5,3.83
2021,6,6.26
2021,7,1.06
2021,8,3.0
2021,9,3.93
2021,10,5.46
2021,11,4.63
2021,12,1.42
2022,1,2.18
2022,2,2.01
2022,3,5.07
2022,4,6.97
2022,5,6.55
2022,6,5.73
2022,7,5.39
2022,8,3.45
2022,9,3.5
2022,10,4.22
2022,11,4.47
2022,12,3.31
2023,1,4.29
2023,2,1.17
2023,3,6.57
2023,4,8.25
2023,5,5.54
2023,6,1.3
2023,7,2.3
2023,8,3.3
2023,9,1.94
2023,10,4.15
2023,11,5.12
2023,12,5.08
