YEAR,Month,Temperature_C
2010,1,10.64
2010,2,11.13
2010,3,10.54
2010,4,10.45
2010,5,10.63
2010,6,8.66
2010,7,9.16
2010,8,8.29
2010,9,9.03
2010,10,9.78
2010,11,9.8
2010,12,9.58
2011,1,9.54
2011,2,9.94
2011,3,9.82
2011,4,9.81
2011,5,9.49
2011,6,8.98
2011,7,8.31
2011,8,8.66
2011,9,8.72
2011,10,10.15
2011,11,10.18
2011,12,10.09
2012,1,9.79
2012,2,9.46
2012,3,9.48
2012,4,9.71
2012,5,8.9
2012,6,8.32
2012,7,7.92
2012,8,7.82
2012,9,8.49
2012,10,9.84
2012,11,10.59
2012,12,10.13
2013,1,10.67
2013,2,9.84
2013,3,10.45
2013,4,10.17
2013,5,9.62
2013,6,8.16
2013,7,7.72
2013,8,8.21
2013,9,8.74
2013,10,9.57
2013,11,10.21
2013,12,10.3
2014,1,10.04
2014,2,10.24
2014,3,10.31
2014,4,10.09
2014,5,10.1
2014,6,8.59
2014,7,8.0
2014,8,7.7
2014,9,9.14
2014,10,9.38
2014,11,10.34
2014,12,10.05
2015,1,9.74
2015,2,10.12
2015,3,10.32
2015,4,9.58
2015,5,9.58
2015,6,8.13
2015,7,8.37
2015,8,8.6
2015,9,9.08
2015,10,9.9
2015,11,10.7
2015,12,9.93
2016,1,11.41
2016,2,11.01
2016,3,11.29
2016,4,11.05
2016,5,9.9
2016,6,7.92
2016,7,7.9
2016,8,8.31
2016,9,9.06
2016,10,10.1
2016,11,11.0
2016,12,10.21
2017,1,9.75
2017,2,9.91
2017,3,10.12
2017,4,9.88
2017,5,9.65
2017,6,9.09
2017,7,7.38
2017,8,8.73
2017,9,8.83
2017,10,10.07
2017,11,10.48
2017,12,10.44
2018,1,9.49
2018,2,10.69
2018,3,10.18
2018,4,9.65
2018,5,9.39
2018,6,8.21
2018,7,8.02
2018,8,7.7
2018,9,8.65
2018,10,10.32
2018,11,10.73
2018,12,9.58
2019,1,10.06
2019,2,10.66
2019,3,10.46
2019,4,10.59
2019,5,9.58
2019,6,8.5
2019,7,7.89
2019,8,7.71
2019,9,8.93
2019,10,9.51
2019,11,10.42
2019,12,10.41
2020,1,10.72
2020,2,10.86
2020,3,11.09
2020,4,10.35
2020,5,10.11
2020,6,9.0
2020,7,8.33
2020,8,8.92
2020,9,9.39
2020,10,10.18
2020,11,10.37
2020,12,10.4
2021,1,9.82
2021,2,10.51
2021,3,9.7
2021,4,9.98
2021,5,9.32
2021,6,8.43
2021,7,7.84
2021,8,8.34
2021,9,8.68
2021,10,10.03
2021,11,10.09
2021,12,10.57
2022,1,10.09
2022,2,10.17
2022,3,10.14
2022,4,9.72
2022,5,9.11
2022,6,8.37
2022,7,8.12
2022,8,7.89
2022,9,8.7
2022,10,9.8
2022,11,10.26
2022,12,9.8
2023,1,9.46
2023,2,9.89
2023,3,10.01
2023,4,10.14
2023,5,10.11
2023,6,8.33
2023,7,8.64
2023,8,8.53
2023,9,9.33
2023,10,10.4
2023,11,10.67
2023,12,11.01
